text,true_label,predicted_label,predicted_risk_score,risk_level,error_type,reasons,indicators
	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,1,0,20,LOW,false_negative,Link or verification action detected.,link
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
RCT' THNQ Adrian for U text. Rgds Vatian,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Please CALL 08712402779 immediately as there is an urgent message waiting for you,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",1,0,20,LOW,false_negative,Link or verification action detected.,link
87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Dear customer, Due to BVN system upgrade your ATM CARD has been De-activated, to re-activate, kindly call customer care on 08065635084 for help.",1,0,15,LOW,false_negative,Banking-related language detected.,banking
	You have 1 new voicemail. Please call 0871918154.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,0,20,LOW,false_negative,Link or verification action detected.,link
	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com,1,0,20,LOW,false_negative,Link or verification action detected.,link
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716 ",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Please CALL 08712402902 immediately as there is an urgent message waiting for you.,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
My name is Theresa & I have 7.3milion Dollar to transfer to you for charity work to help the poor ones in ur place india. Contact memea.theresamarie@gmail.com,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345.,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"Please call our customer service representative on 6200992462 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.8,00,000 FL1PKART TEAM",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",1,0,20,LOW,false_negative,Link or verification action detected.,link
YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
	You are a winner U have been specially selected 2 receive £1000 cash  speak to a live operator 2 claim 0871277810810,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1,0,20,LOW,false_negative,Link or verification action detected.,link
Rediscover the deeper meaning of life and the means to attain true peace. Understand the essence of being a true Sikh. Sms JOIN GURUBANI to 09219592195,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
FreeMsg>FAV XMAS TONES!Reply REAL,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956668 ",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Your Number has won 365,000 pounds and two mobile phones in the ongoing COCACOLA/UK PROMO. Contact MR. Billy: cocacolaclaimsoffice@yahoo.com +447014233755",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts  call 08000930705,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question call  08452810075,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"	449050000301 You have won a £2,000 price! To claim, call 09050000301.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Please CALL 08712402779 immediately as there is an urgent message waiting for you,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
	Do you want 750 anytime any networt NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com,1,0,20,LOW,false_negative,Link or verification action detected.,link
price revising soon for urbtech xaviers fully loaded tallest tower in noida few units left for more details call 9891205199,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,0,20,LOW,false_negative,Link or verification action detected.,link
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1,0,20,LOW,false_negative,Link or verification action detected.,link
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,0,20,LOW,false_negative,Link or verification action detected.,link
	Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Todays Vodafone numbers ending with 4865 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
When ü login dat time... Dad fetching ü home now?,0,1,40,MEDIUM,false_positive,Urgent language detected. | Credential or authentication language detected.,credential | urgent_language
"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call 08718738034,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 86.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Please CALL 08712402578 immediately as there is an urgent message waiting for you,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd.,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FEE, visit www.07781482378.com",1,0,20,LOW,false_negative,Link or verification action detected.,link
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"Please call our customer service representative on 6299257179 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000 FL1PKART TEAM",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,1,0,20,LOW,false_negative,Link or verification action detected.,link
"Hottest pics straight to your phone!! See me getting and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. ",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"As a valued customer, I am pleased to advise you that following recent draw of your Mobile No. you are awarded with a Rs.2,00,000 Bonus Prize, call 6200992462",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Now Get*SAUNA SLIM BELT(Rs650)&VIBRATION+SAUNA BELT(Rs999)NCR(Rs50 Extra)LoseFAT(5 inch)+FreeSLIM.TEA PH:9311304872/9268250573,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
YOU ARE CHOSEN TO RECEIVE A £450 AWARD! Pls call claim number 09066364315 to collect your award which you are selected to receive as a valued mobile customer.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",1,0,20,LOW,false_negative,Link or verification action detected.,link
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,1,0,20,LOW,false_negative,Link or verification action detected.,link
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"IMPORTANT MESSAGE FROM WESTPAC For the safety of our customers due to the recent COVID-19 virus, all customers are required to review and update their personal details. You will be unable to use Westpac services until you have done so. Please go to https:// westpac-mobile.cc/2update or call us on 132 032.",1,0,20,LOW,false_negative,Link or verification action detected.,link
Winters & Weddings. Enjoy the season with glittering garments. Wardrobe Drycleaning Best Quality @ Affordable rates. Over 60 outlets in NCR. Call 9654726000,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"YOUR MOBILE NUMBER HAS WON 3.6 CRORE FROM SAMSUNG UK AWARD TO RECEIVE YOUR PRIZE,SEND UR NAME, MOBILE,N0,ADDRES, AGE,SEX, OCCUP TO�samsungzoneuk@outlook.com",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 6200992462 to claim",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
"You have won ?2,000 cash or a ?5,000 prize! To claim, call09050000337",1,0,20,LOW,false_negative,Financial or reward language detected.,financial
"Swayamvara By David Hair,�Swayamvara� (The Return of Ravana Book 2) by David Hair is a story of reincarnation, two swayamvaras, 800 years apart, that sees four lives knotted forever & one rigid force, Ravana reborn.",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",1,0,20,LOW,false_negative,Link or verification action detected.,link
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
ringtoneking 84484,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,0,20,LOW,false_negative,Link or verification action detected.,link
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",0,1,25,MEDIUM,false_positive,Banking-related language detected. | Financial or reward language detected.,banking | financial
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,0,15,LOW,false_negative,Banking-related language detected.,banking
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
	Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,1,0,20,LOW,false_negative,Urgent language detected.,urgent_language
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
	Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
You have 1 new message. Please call 08712400200.,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
